utc,x_teme_m,y_teme_m,z_teme_m,vx_teme_mps,vy_teme_mps,vz_teme_mps,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,lat_deg,lon_deg,alt_m
2026-03-27T00:25:30+00:00,4058459.850949786,-5410403.111512481,-667616.4433251943,,,,-2969229.4653911926,6076778.305375969,-667616.4433251943,,,,-5.672824008088346,116.04101444448969,418339.1249780664
2026-03-27T00:26:00+00:00,4160307.121651604,-5307470.722731677,-846074.604264292,,,,-3075486.193486581,6001565.253564471,-846074.604264292,,,,-7.1957902674644965,117.13275033733925,418757.02354880795
2026-03-27T00:26:30+00:00,4257394.8025388885,-5198466.354610119,-1023562.0582135373,,,,-3178582.1585105364,5919972.838307373,-1023562.0582135373,,,,-8.715242823145338,118.23246857410919,419198.1306209294
2026-03-27T00:27:00+00:00,4349612.688654574,-5083515.771690306,-1199875.380281285,,,,-3278428.291320782,5832081.1963651925,-1199875.380281285,,,,-10.230434251350491,119.34194922895404,419661.4795721816
2026-03-27T00:27:30+00:00,4436856.217483687,-4962751.533540016,-1374812.5738697096,,,,-3374938.9257692094,5737977.267783936,-1374812.5738697096,,,,-11.74059802902516,120.46300908552814,420145.99647040665
2026-03-27T00:28:00+00:00,4519026.585607445,-4836312.834580663,-1548173.3050180543,,,,-3468031.8652576446,5637754.703506894,-1548173.3050180543,,,,-13.244944715760193,121.59750823815887,420650.50398388784
2026-03-27T00:28:30+00:00,4596030.858146345,-4704345.3362254435,-1719759.134242976,,,,-3557628.429488397,5531513.775558679,-1719759.134242976,,,,-14.742657951012687,122.74735651228178,421173.7257810775
2026-03-27T00:29:00+00:00,4667782.070882392,-4567000.991591963,-1889373.74557736,,,,-3643653.578137938,5419361.228131567,-1889373.74557736,,,,-16.232890238642145,123.91452067049545,421714.2913973732
2026-03-27T00:29:30+00:00,4734199.324964228,-4424437.8630648935,-2056823.172516055,,,,-3726035.8670659503,5301410.224643258,-2056823.172516055,,,,-17.71475849129001,125.10102984098143,422270.7415445326
2026-03-27T00:30:00+00:00,4795207.874113286,-4276819.932992749,-2221916.0205865586,,,,-3804707.5645639356,5177780.184920187,-2221916.0205865586,,,,-19.187339308138803,126.30898245928012,422841.53383595124
2026-03-27T00:30:30+00:00,4850739.204263673,-4124316.9078101283,-2384463.6862731567,,,,-3879604.681053953,5048596.666656323,-2384463.6862731567,,,,-20.649663961279884,127.54055210981835,423425.04889939725
2026-03-27T00:31:00+00:00,4900731.1055812,-3967104.0158857293,-2544280.5720306523,,,,-3950667.0111851655,4913991.230028914,-2544280.5720306523,,,,-22.1007130685235,128.79799315355808,424019.5968467146
2026-03-27T00:31:30+00:00,4945127.7368224645,-3805361.7993987724,-2701184.297138698,,,,-4017838.1717936364,4774101.295855828,-2701184.297138698,,,,-23.539410934412714,130.08364581528724,424623.42406884953
2026-03-27T00:32:00+00:00,4983879.682006406,-3639275.90055546,-2854995.90415384,,,,-4081065.635736675,4629069.997514537,-2854995.90415384,,,,-24.964619546719224,131.39994052849272,425234.72032287903
2026-03-27T00:32:30+00:00,5016943.999385462,-3469036.842456311,-3005540.0607328108,,,,-4140300.761659588,4479046.026810852,-3005540.0607328108,,,,-26.375132223468366,132.74940128406274,425851.62607683055
2026-03-27T00:33:00+00:00,5044284.262714735,-3294839.804932548,-3152645.2566075036,,,,-4195498.819501407,4324183.474229764,-3152645.2566075036,,,,-27.769666915989447,134.1346476639584,426472.2400770914
