utc,ground_station,visible,elevation_deg,range_km
2026-03-27T00:48:30+00:00,Seoul,0,-54.896,10926.938
2026-03-27T00:48:30+00:00,Daejeon,0,-54.306,10854.486
2026-03-27T00:49:00+00:00,Seoul,0,-55.623,11015.556
2026-03-27T00:49:00+00:00,Daejeon,0,-55.041,10945.245
2026-03-27T00:49:30+00:00,Seoul,0,-56.341,11101.566
2026-03-27T00:49:30+00:00,Daejeon,0,-55.767,11033.422
2026-03-27T00:50:00+00:00,Seoul,0,-57.050,11184.940
2026-03-27T00:50:00+00:00,Daejeon,0,-56.484,11118.985
2026-03-27T00:50:30+00:00,Seoul,0,-57.749,11265.651
2026-03-27T00:50:30+00:00,Daejeon,0,-57.191,11201.907
2026-03-27T00:51:00+00:00,Seoul,0,-58.436,11343.673
2026-03-27T00:51:00+00:00,Daejeon,0,-57.888,11282.162
2026-03-27T00:51:30+00:00,Seoul,0,-59.113,11418.982
2026-03-27T00:51:30+00:00,Daejeon,0,-58.575,11359.724
2026-03-27T00:52:00+00:00,Seoul,0,-59.777,11491.555
2026-03-27T00:52:00+00:00,Daejeon,0,-59.249,11434.569
2026-03-27T00:52:30+00:00,Seoul,0,-60.428,11561.370
2026-03-27T00:52:30+00:00,Daejeon,0,-59.912,11506.674
2026-03-27T00:53:00+00:00,Seoul,0,-61.065,11628.405
2026-03-27T00:53:00+00:00,Daejeon,0,-60.561,11576.019
2026-03-27T00:53:30+00:00,Seoul,0,-61.687,11692.642
2026-03-27T00:53:30+00:00,Daejeon,0,-61.196,11642.581
2026-03-27T00:54:00+00:00,Seoul,0,-62.294,11754.062
2026-03-27T00:54:00+00:00,Daejeon,0,-61.817,11706.343
2026-03-27T00:54:30+00:00,Seoul,0,-62.883,11812.648
2026-03-27T00:54:30+00:00,Daejeon,0,-62.421,11767.286
2026-03-27T00:55:00+00:00,Seoul,0,-63.455,11868.384
2026-03-27T00:55:00+00:00,Daejeon,0,-63.008,11825.394
2026-03-27T00:55:30+00:00,Seoul,0,-64.008,11921.256
2026-03-27T00:55:30+00:00,Daejeon,0,-63.577,11880.650
2026-03-27T00:56:00+00:00,Seoul,0,-64.540,11971.249
2026-03-27T00:56:00+00:00,Daejeon,0,-64.127,11933.041
2026-03-27T00:56:30+00:00,Seoul,0,-65.051,12018.351
2026-03-27T00:56:30+00:00,Daejeon,0,-64.657,11982.553
2026-03-27T00:57:00+00:00,Seoul,0,-65.538,12062.551
2026-03-27T00:57:00+00:00,Daejeon,0,-65.164,12029.175
2026-03-27T00:57:30+00:00,Seoul,0,-66.002,12103.839
2026-03-27T00:57:30+00:00,Daejeon,0,-65.649,12072.894
2026-03-27T00:58:00+00:00,Seoul,0,-66.440,12142.206
2026-03-27T00:58:00+00:00,Daejeon,0,-66.109,12113.701
2026-03-27T00:58:30+00:00,Seoul,0,-66.851,12177.643
2026-03-27T00:58:30+00:00,Daejeon,0,-66.544,12151.588
2026-03-27T00:59:00+00:00,Seoul,0,-67.234,12210.145
2026-03-27T00:59:00+00:00,Daejeon,0,-66.951,12186.547
2026-03-27T00:59:30+00:00,Seoul,0,-67.586,12239.705
2026-03-27T00:59:30+00:00,Daejeon,0,-67.329,12218.571
2026-03-27T01:00:00+00:00,Seoul,0,-67.908,12266.319
2026-03-27T01:00:00+00:00,Daejeon,0,-67.678,12247.656
2026-03-27T01:00:30+00:00,Seoul,0,-68.197,12289.983
2026-03-27T01:00:30+00:00,Daejeon,0,-67.995,12273.797
2026-03-27T01:01:00+00:00,Seoul,0,-68.452,12310.697
2026-03-27T01:01:00+00:00,Daejeon,0,-68.279,12296.990
2026-03-27T01:01:30+00:00,Seoul,0,-68.673,12328.458
2026-03-27T01:01:30+00:00,Daejeon,0,-68.530,12317.235
2026-03-27T01:02:00+00:00,Seoul,0,-68.857,12343.267
2026-03-27T01:02:00+00:00,Daejeon,0,-68.745,12334.531
2026-03-27T01:02:30+00:00,Seoul,0,-69.005,12355.125
2026-03-27T01:02:30+00:00,Daejeon,0,-68.925,12348.878
2026-03-27T01:03:00+00:00,Seoul,0,-69.115,12364.034
2026-03-27T01:03:00+00:00,Daejeon,0,-69.067,12360.277
2026-03-27T01:03:30+00:00,Seoul,0,-69.188,12369.999
2026-03-27T01:03:30+00:00,Daejeon,0,-69.172,12368.731
2026-03-27T01:04:00+00:00,Seoul,0,-69.221,12373.023
2026-03-27T01:04:00+00:00,Daejeon,0,-69.239,12374.245
2026-03-27T01:04:30+00:00,Seoul,0,-69.217,12373.113
