utc,x_teme_m,y_teme_m,z_teme_m,vx_teme_mps,vy_teme_mps,vz_teme_mps,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,lat_deg,lon_deg,alt_m
2026-03-27T00:11:40+00:00,2910863.565718742,-3375699.255643159,5073400.06620291,,,,-2454082.8411158584,3721014.5890226397,5073400.06620291,,,,48.87779838722471,123.40564230788652,387315.37287890445
2026-03-27T00:11:50+00:00,2952564.1539830635,-3313417.979350742,5090247.536961411,,,,-2500750.8020938546,3666417.7633075886,5090247.536961411,,,,49.09526242382872,124.29669574670766,387331.6787207071
2026-03-27T00:12:00+00:00,2993883.660409745,-3250709.051062992,5106436.12391405,,,,-2547177.255303384,3611417.5522634364,5106436.12391405,,,,49.30512849295896,125.1957879244028,387345.940445438
2026-03-27T00:12:10+00:00,3034816.751441972,-3187580.563489253,5121963.730494639,,,,-2593356.8052858715,3556020.675424248,5121963.730494639,,,,49.507276115628926,126.10275509966209,387358.13085495494
2026-03-27T00:12:20+00:00,3075358.1432388914,-3124040.6630973965,5136828.34531287,,,,-2639284.0791312233,3500233.895544158,5136828.34531287,,,,49.701586887999696,127.01741761787957,387368.2239756584
2026-03-27T00:12:30+00:00,3115502.601726161,-3060097.5500548687,5151028.042184965,,,,-2684953.7565845065,3444063.9950815425,5151028.042184965,,,,49.8879447579933,127.93958025019185,387376.19507387094
2026-03-27T00:12:40+00:00,3155244.9441961637,-2995759.4757222664,5164560.980721617,,,,-2730360.509584737,3387517.8201679434,5164560.980721617,,,,50.06623631426696,128.86903112049953,387382.0206710771
2026-03-27T00:12:50+00:00,3194580.0394433984,-2931034.742411629,5177425.406365014,,,,-2775499.0342208985,3330602.257951713,5177425.406365014,,,,50.23635107179525,129.80554218399982,387385.6785580106
2026-03-27T00:13:00+00:00,3233502.808915772,-2865931.701498738,5189619.650769241,,,,-2820364.0806835927,3273324.2102351286,5189619.650769241,,,,50.39818176438026,130.74886979888527,387387.14780831244
2026-03-27T00:13:10+00:00,3272008.225669806,-2800458.755198782,5201142.131489089,,,,-2864950.3831713633,3215690.6521596014,5201142.131489089,,,,50.55162462891743,131.6987536377054,387386.408791461
2026-03-27T00:13:20+00:00,3310091.3177939407,-2734624.3508246224,5211991.3530447325,,,,-2909252.741541598,3157708.561297339,5211991.3530447325,,,,50.69657970729802,132.65491831751922,387383.4431850957
2026-03-27T00:13:30+00:00,3347747.167040266,-2668436.983041162,5222165.906477659,,,,-2953265.9523497187,3099384.9779560873,5222165.906477659,,,,50.832951125986924,133.6170724650691,387378.233986537
2026-03-27T00:13:40+00:00,3384970.9096651077,-2601905.192467138,5231664.469618486,,,,-2996984.8389578722,3040726.979674949,5231664.469618486,,,,50.96064738100067,134.58490960186225,387370.76552379224
2026-03-27T00:13:50+00:00,3421757.73753149,-2535037.5637437426,5240485.807389095,,,,-3040404.279161535,2981741.652659509,5240485.807389095,,,,51.07958161757277,135.55810912680715,387361.02346572
2026-03-27T00:14:00+00:00,3458102.8986161263,-2467842.7246071342,5248628.77192222,,,,-3083519.1514171907,2922436.143640614,5248628.77192222,,,,51.18967189976457,136.5363358488251,387348.9948315723
2026-03-27T00:14:10+00:00,3494001.697150379,-2400329.3456552196,5256092.30260749,,,,-3126324.362836431,2862817.634017006,5256092.30260749,,,,51.29084146962424,137.51924111345397,387334.6679999549
2026-03-27T00:14:20+00:00,3529449.4952325053,-2332506.1373470114,5262875.426443373,,,,-3168814.875652691,2802893.309421656,5262875.426443373,,,,51.38301899921463,138.50646405004971,387318.0327166198
2026-03-27T00:14:30+00:00,3564441.712219273,-2264381.8511422044,5268977.257909146,,,,-3210985.6553252055,2742670.4156508893,5268977.257909146,,,,51.466138823065435,139.49763132419332,387299.0801023189
2026-03-27T00:14:40+00:00,3598973.8260465655,-2195965.277008557,5274396.999235405,,,,-3252831.6984425457,2682156.229603881,5274396.999235405,,,,51.54014116119406,140.49235854015387,387277.8026592806
2026-03-27T00:14:50+00:00,3633041.3734466964,-2127265.243003618,5279133.9404450385,,,,-3294348.055867363,2621358.0301190503,5279133.9404450385,,,,51.604972322497744,141.4902516814028,387254.1942773722
2026-03-27T00:15:00+00:00,3666639.9514686237,-2058290.6122151385,5283187.459567917,,,,-3335529.78672576,2560283.1522907787,5283187.459567917,,,,51.66058489240988,142.49090714689123,387228.25023871753
2026-03-27T00:15:10+00:00,3699765.2158793225,-1989050.2860460037,5286557.022450495,,,,-3376371.9810336367,2498938.962588173,5286557.022450495,,,,51.70693789541284,143.49391327142672,387199.9672238529
2026-03-27T00:15:20+00:00,3732412.8843047973,-1919553.1977905615,5289242.183147069,,,,-3416869.7849842994,2437332.8230944932,5289242.183147069,,,,51.74399694458681,144.49885204492136,387169.34331365395
2026-03-27T00:15:30+00:00,3764578.7352194935,-1849808.3146755283,5291242.583781372,,,,-3457018.354943531,2375472.1527083917,5291242.583781372,,,,51.771734361762995,145.50529923965632,387136.3779935716
2026-03-27T00:15:40+00:00,3796258.608429449,-1779824.6369153967,5292557.954628974,,,,-3496812.881158405,2313364.3972384413,5292557.954628974,,,,51.79012927754043,146.51282614135874,387101.0721562868
2026-03-27T00:15:50+00:00,3827448.4066655436,-1709611.1942446087,5293188.114209824,,,,-3536248.609380928,2251016.9954543966,5293188.114209824,,,,51.79916770746373,147.52100134345994,387063.42810222786
2026-03-27T00:16:00+00:00,3858144.0949659045,-1639177.0472777938,5293132.969260724,,,,-3575320.798807431,2188437.441522517,5293132.969260724,,,,51.798842601895096,148.52939098636602,387023.449541742
2026-03-27T00:16:10+00:00,3888341.7018438135,-1568531.2849289398,5292392.514783433,,,,-3614024.744898212,2125633.252788893,5292392.514783433,,,,51.78915387187482,149.53756057826507,386981.1415946372
2026-03-27T00:16:20+00:00,3918037.319558375,-1497683.0237970361,5290966.834047566,,,,-3652355.7977384776,2062611.937313497,5290966.834047566,,,,51.77010838906762,150.54507679109815,386936.510789942
2026-03-27T00:16:30+00:00,3947227.1049924144,-1426641.4061025323,5288856.09856411,,,,-3690309.3252386907,1999381.0552391873,5288856.09856411,,,,51.74171996003219,151.55150776436977,386889.56506408565
2026-03-27T00:16:40+00:00,3975907.2793194707,-1355415.6005269566,5286060.568124138,,,,-3727880.7323433077,1935948.1886974478,5286060.568124138,,,,51.70400927629805,152.55642486039199,386840.313760248
2026-03-27T00:16:50+00:00,4004074.1296078907,-1284014.7983194124,5282580.590687907,,,,-3765065.4795389846,1872320.9053157272,5282580.590687907,,,,51.65700383779773,153.55940446566512,386788.76762383245
2026-03-27T00:17:00+00:00,4031724.0083339196,-1212448.2144990247,5278416.602428689,,,,-3801859.0422650203,1808506.8357531037,5278416.602428689,,,,51.60073785438992,154.56002800810018,386734.9388006525
